TransactionAmount,AverageTransactionAmount,CustomerLocation,RecipientLocation,TransactionType,CurrencyType,RiskLabel
348.03,602.00,Athens,Dublin,Debit,JPY,False
6.43,886.00,Sydney,Dubai,Invoice,HKD,False
715.47,551.00,Rio de Janeiro,Seoul,Reimbursement,CAD,False
310.85,492.00,Athens,Sydney,Loan,SGD,False
433.19,342.00,Tokyo,Rio de Janeiro,Reimbursement,SGD,False
301.11,998.00,Seoul,Rio de Janeiro,Refund,NZD,False
6164.89,978.00,Mumbai,Berlin,Purchase,NOK,True
423.16,574.00,Toronto,Paris,Withdrawal,KRW,False
327.58,334.00,Mumbai,Amsterdam,Exchange,NZD,False
244.10,444.00,Athens,Seoul,Deposit,AUD,False
86.09,212.00,Seoul,Sydney,Refund,TRY,False
159.00,814.00,Mumbai,Toronto,Exchange,BRL,False
643.47,138.00,Helsinki,Rome,Loan,BRL,True
1320.25,546.00,Cape Town,Moscow,Fee,INR,False
47.15,170.00,Mumbai,Helsinki,Fee,JPY,False
45.59,240.00,Mexico City,Rome,Deposit,CHF,False
539.59,581.00,Rio de Janeiro,Toronto,Refund,KRW,True
486.81,663.00,Dubai,Amsterdam,Subscription,NOK,False
324.96,574.00,Berlin,Rio de Janeiro,Reimbursement,EUR,False
301.00,321.00,Rome,Rio de Janeiro,Invoice,SGD,False
383.16,350.00,Berlin,Moscow,Fee,NZD,False
441.51,518.00,Rio de Janeiro,Dubai,Invoice,INR,False
58.88,125.00,Sydney,Dublin,Subscription,TRY,False
269.57,587.00,Rio de Janeiro,London,Reimbursement,JPY,True
858.31,807.00,Moscow,Dublin,Loan,GBP,False
120.01,667.00,Helsinki,Rio de Janeiro,Loan,USD,True
389.60,619.00,Amsterdam,Amsterdam,Loan,SEK,False
164.93,170.00,Paris,Moscow,Exchange,TRY,False
731.02,898.00,Dubai,New York,Transfer,ZAR,False
571.20,799.00,London,Cape Town,Credit,SGD,False
174.66,121.00,Dubai,Toronto,Deposit,BRL,False
1046.42,735.00,Athens,Cape Town,Invoice,CHF,False
468.02,723.00,Sydney,Amsterdam,Loan,GBP,False
